brt  | 2025-05-10T13:17:44.976Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.ReportConsumer           : Received message: 
brt  | 2025-05-10T13:17:45.587Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Got receiverRecord: User(userId=10, userName=Андреева София Владимировна, tariffId=12, msisdn=79991112244, balance=175.00, registrationDate=2024-04-14T19:59:20, userParams=rom.brt.entity.UserParams@7a6cfc2a)
brt  | 2025-05-10T13:17:45.587Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Created caller: Subscriber[id=14, msisdn=79995556688, isServiced=true, tariffId=12, minutes=50, paymentDay=2024-05-13]
brt  | 2025-05-10T13:17:45.587Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Created receiver: Subscriber[id=10, msisdn=79991112244, isServiced=true, tariffId=12, minutes=39, paymentDay=2024-06-12]
brt  | 2025-05-10T13:17:45.587Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Sent request: CalculationRequest[callType=02, caller=Subscriber[id=14, msisdn=79995556688, isServiced=true, tariffId=12, minutes=50, paymentDay=2024-05-13], receiver=Subscriber[id=10, msisdn=79991112244, isServiced=true, tariffId=12, minutes=39, paymentDay=2024-06-12], durationMinutes=11, currentDate=2025-04-30]
brt  | 2025-05-10T13:17:45.600Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Received response: CalculationResponse[cost=100.0, tariffType=00, description=Default description, remainingMinutes=39, nextPaymentDate=2024-06-12]
brt  | 2025-05-10T13:17:45.606Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.BillingService           : User information updated: User(userId=14, userName=Федоров Федор Федорович, tariffId=12, msisdn=79995556688, balance=425.00, registrationDate=2024-04-14T19:59:20, userParams=rom.brt.entity.UserParams@1dff30e2)
brt  | 
brt  | 2025-05-10T13:17:45.611Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Saved fragment: Fragment(callType=02, callerMsisdn=79995556688, receiverMsisdn=79991112244, startTime=2025-04-30T00:00, endTime=2025-04-30T00:11)
brt  | Response: CalculationResponse[cost=100.0, tariffType=00, description=Default description, remainingMinutes=39, nextPaymentDate=2024-06-12]
brt  | 2025-05-10T13:17:45.611Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Trying to handle message "01, 79906667799, 79991112244, 2025-04-30T00:41:00, 2025-04-30T01:24:00"
brt  | 2025-05-10T13:17:45.615Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Got callerRecord: User(userId=-1, userName=null, tariffId=null, msisdn=79906667799, balance=null, registrationDate=null, userParams=null)
brt  | 2025-05-10T13:17:45.619Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Got receiverRecord: User(userId=10, userName=Андреева София Владимировна, tariffId=12, msisdn=79991112244, balance=175.00, registrationDate=2024-04-14T19:59:20, userParams=rom.brt.entity.UserParams@95f43a1)
brt  | 2025-05-10T13:17:45.619Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Caller is not serviced by Romashka. Terminating fragment processing
brt  | 2025-05-10T13:17:45.620Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Trying to handle message "02, 79991112244, 79906667799, 2025-04-30T00:41:00, 2025-04-30T01:24:00"
brt  | 2025-05-10T13:17:45.624Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Got callerRecord: User(userId=10, userName=Андреева София Владимировна, tariffId=12, msisdn=79991112244, balance=175.00, registrationDate=2024-04-14T19:59:20, userParams=rom.brt.entity.UserParams@3920f416)
brt  | 2025-05-10T13:17:45.627Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Got receiverRecord: User(userId=-1, userName=null, tariffId=null, msisdn=79906667799, balance=null, registrationDate=null, userParams=null)
brt  | 2025-05-10T13:17:45.628Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Created caller: Subscriber[id=10, msisdn=79991112244, isServiced=true, tariffId=12, minutes=39, paymentDay=2024-06-12]
brt  | 2025-05-10T13:17:45.628Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Receiver 79906667799 is not serviced by Romashka
brt  | 2025-05-10T13:17:45.628Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Created receiver: Subscriber[id=null, msisdn=79906667799, isServiced=false, tariffId=null, minutes=null, paymentDay=null]
brt  | 2025-05-10T13:17:45.628Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Sent request: CalculationRequest[callType=02, caller=Subscriber[id=10, msisdn=79991112244, isServiced=true, tariffId=12, minutes=39, paymentDay=2024-06-12], receiver=Subscriber[id=null, msisdn=79906667799, isServiced=false, tariffId=null, minutes=null, paymentDay=null], durationMinutes=43, currentDate=2025-04-30]
brt  | 2025-05-10T13:17:45.646Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Received response: CalculationResponse[cost=100.0, tariffType=00, description=Default description, remainingMinutes=39, nextPaymentDate=2024-07-12]
brt  | 2025-05-10T13:17:45.652Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.BillingService           : User information updated: User(userId=10, userName=Андреева София Владимировна, tariffId=12, msisdn=79991112244, balance=75.00, registrationDate=2024-04-14T19:59:20, userParams=rom.brt.entity.UserParams@3920f416)
brt  | 
brt  | 2025-05-10T13:17:45.656Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Saved fragment: Fragment(callType=02, callerMsisdn=79991112244, receiverMsisdn=79906667799, startTime=2025-04-30T00:41, endTime=2025-04-30T01:24)
brt  | Response: CalculationResponse[cost=100.0, tariffType=00, description=Default description, remainingMinutes=39, nextPaymentDate=2024-07-12]
brt  | 2025-05-10T13:17:45.656Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Trying to handle message "01, 79901113366, 79992223355, 2025-04-30T01:16:00, 2025-04-30T02:10:00"
brt  | 2025-05-10T13:17:45.659Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Got callerRecord: User(userId=-1, userName=null, tariffId=null, msisdn=79901113366, balance=null, registrationDate=null, userParams=null)
brt  | 2025-05-10T13:17:45.662Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Got receiverRecord: User(userId=11, userName=Сергеев Сергей Сергеевич, tariffId=11, msisdn=79992223355, balance=846.00, registrationDate=2024-04-14T19:59:20, userParams=rom.brt.entity.UserParams@ce77235)
brt  | 2025-05-10T13:17:45.663Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Caller is not serviced by Romashka. Terminating fragment processing
brt  | 2025-05-10T13:17:45.663Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Trying to handle message "02, 79992223355, 79901113366, 2025-04-30T01:16:00, 2025-04-30T02:10:00"
brt  | 2025-05-10T13:17:45.665Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Got callerRecord: User(userId=11, userName=Сергеев Сергей Сергеевич, tariffId=11, msisdn=79992223355, balance=846.00, registrationDate=2024-04-14T19:59:20, userParams=rom.brt.entity.UserParams@357a3bb8)
brt  | 2025-05-10T13:17:45.668Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Got receiverRecord: User(userId=-1, userName=null, tariffId=null, msisdn=79901113366, balance=null, registrationDate=null, userParams=null)
brt  | 2025-05-10T13:17:45.668Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Created caller: Subscriber[id=11, msisdn=79992223355, isServiced=true, tariffId=11, minutes=50, paymentDay=2024-05-13]
brt  | 2025-05-10T13:17:45.668Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Receiver 79901113366 is not serviced by Romashka
brt  | 2025-05-10T13:17:45.668Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Created receiver: Subscriber[id=null, msisdn=79901113366, isServiced=false, tariffId=null, minutes=null, paymentDay=null]
brt  | 2025-05-10T13:17:45.668Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Sent request: CalculationRequest[callType=02, caller=Subscriber[id=11, msisdn=79992223355, isServiced=true, tariffId=11, minutes=50, paymentDay=2024-05-13], receiver=Subscriber[id=null, msisdn=79901113366, isServiced=false, tariffId=null, minutes=null, paymentDay=null], durationMinutes=54, currentDate=2025-04-30]
brt  | 2025-05-10T13:17:45.686Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Received response: CalculationResponse[cost=0.0, tariffType=00, description=Default description, remainingMinutes=50, nextPaymentDate=2024-05-13]
brt  | 2025-05-10T13:17:45.689Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.BillingService           : User information updated: User(userId=11, userName=Сергеев Сергей Сергеевич, tariffId=11, msisdn=79992223355, balance=846.00, registrationDate=2024-04-14T19:59:20, userParams=rom.brt.entity.UserParams@357a3bb8)
brt  | 
brt  | 2025-05-10T13:17:45.693Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Saved fragment: Fragment(callType=02, callerMsisdn=79992223355, receiverMsisdn=79901113366, startTime=2025-04-30T01:16, endTime=2025-04-30T02:10)
brt  | Response: CalculationResponse[cost=0.0, tariffType=00, description=Default description, remainingMinutes=50, nextPaymentDate=2024-05-13]
brt  | 2025-05-10T13:17:45.693Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Trying to handle message "01, 79993335577, 79992223355, 2025-04-30T02:03:00, 2025-04-30T02:50:00"
brt  | 2025-05-10T13:17:45.697Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Got callerRecord: User(userId=3, userName=Иванов Борис Борисович, tariffId=11, msisdn=79993335577, balance=536.00, registrationDate=2024-04-14T19:59:20, userParams=rom.brt.entity.UserParams@12879cee)
brt  | 2025-05-10T13:17:45.700Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Got receiverRecord: User(userId=11, userName=Сергеев Сергей Сергеевич, tariffId=11, msisdn=79992223355, balance=846.00, registrationDate=2024-04-14T19:59:20, userParams=rom.brt.entity.UserParams@4fcdaf34)
brt  | 2025-05-10T13:17:45.700Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Created caller: Subscriber[id=3, msisdn=79993335577, isServiced=true, tariffId=11, minutes=50, paymentDay=2024-05-13]
brt  | 2025-05-10T13:17:45.700Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Created receiver: Subscriber[id=11, msisdn=79992223355, isServiced=true, tariffId=11, minutes=50, paymentDay=2024-05-13]
brt  | 2025-05-10T13:17:45.700Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Sent request: CalculationRequest[callType=01, caller=Subscriber[id=3, msisdn=79993335577, isServiced=true, tariffId=11, minutes=50, paymentDay=2024-05-13], receiver=Subscriber[id=11, msisdn=79992223355, isServiced=true, tariffId=11, minutes=50, paymentDay=2024-05-13], durationMinutes=47, currentDate=2025-04-30]
brt  | 2025-05-10T13:17:45.711Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Received response: CalculationResponse[cost=0.0, tariffType=00, description=Default description, remainingMinutes=3, nextPaymentDate=2024-05-13]
brt  | 2025-05-10T13:17:45.716Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.BillingService           : User information updated: User(userId=3, userName=Иванов Борис Борисович, tariffId=11, msisdn=79993335577, balance=536.00, registrationDate=2024-04-14T19:59:20, userParams=rom.brt.entity.UserParams@12879cee)
brt  | 
brt  | 2025-05-10T13:17:45.719Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Saved fragment: Fragment(callType=01, callerMsisdn=79993335577, receiverMsisdn=79992223355, startTime=2025-04-30T02:03, endTime=2025-04-30T02:50)
brt  | Response: CalculationResponse[cost=0.0, tariffType=00, description=Default description, remainingMinutes=3, nextPaymentDate=2024-05-13]
brt  | 2025-05-10T13:17:45.719Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Trying to handle message "02, 79992223355, 79993335577, 2025-04-30T02:03:00, 2025-04-30T02:50:00"
brt  | 2025-05-10T13:17:45.722Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Got callerRecord: User(userId=11, userName=Сергеев Сергей Сергеевич, tariffId=11, msisdn=79992223355, balance=846.00, registrationDate=2024-04-14T19:59:20, userParams=rom.brt.entity.UserParams@41add84f)
brt  | 2025-05-10T13:17:45.724Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Got receiverRecord: User(userId=3, userName=Иванов Борис Борисович, tariffId=11, msisdn=79993335577, balance=536.00, registrationDate=2024-04-14T19:59:20, userParams=rom.brt.entity.UserParams@65797a3a)
brt  | 2025-05-10T13:17:45.725Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Created caller: Subscriber[id=11, msisdn=79992223355, isServiced=true, tariffId=11, minutes=50, paymentDay=2024-05-13]
brt  | 2025-05-10T13:17:45.725Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Created receiver: Subscriber[id=3, msisdn=79993335577, isServiced=true, tariffId=11, minutes=3, paymentDay=2024-05-13]
brt  | 2025-05-10T13:17:45.725Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Sent request: CalculationRequest[callType=02, caller=Subscriber[id=11, msisdn=79992223355, isServiced=true, tariffId=11, minutes=50, paymentDay=2024-05-13], receiver=Subscriber[id=3, msisdn=79993335577, isServiced=true, tariffId=11, minutes=3, paymentDay=2024-05-13], durationMinutes=47, currentDate=2025-04-30]
brt  | 2025-05-10T13:17:45.736Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Received response: CalculationResponse[cost=0.0, tariffType=00, description=Default description, remainingMinutes=3, nextPaymentDate=2024-05-13]
brt  | 2025-05-10T13:17:45.740Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.BillingService           : User information updated: User(userId=11, userName=Сергеев Сергей Сергеевич, tariffId=11, msisdn=79992223355, balance=846.00, registrationDate=2024-04-14T19:59:20, userParams=rom.brt.entity.UserParams@41add84f)
brt  | 
brt  | 2025-05-10T13:17:45.742Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Saved fragment: Fragment(callType=02, callerMsisdn=79992223355, receiverMsisdn=79993335577, startTime=2025-04-30T02:03, endTime=2025-04-30T02:50)
brt  | Response: CalculationResponse[cost=0.0, tariffType=00, description=Default description, remainingMinutes=3, nextPaymentDate=2024-05-13]
brt  | 2025-05-10T13:17:45.743Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Trying to handle message "01, 79905557700, 79996668800, 2025-04-30T02:58:00, 2025-04-30T03:04:00"
brt  | 2025-05-10T13:17:45.745Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Got callerRecord: User(userId=-1, userName=null, tariffId=null, msisdn=79905557700, balance=null, registrationDate=null, userParams=null)
brt  | 2025-05-10T13:17:45.747Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Got receiverRecord: User(userId=6, userName=Пупкина Александра Александровна, tariffId=12, msisdn=79996668800, balance=476.00, registrationDate=2024-04-14T19:59:20, userParams=rom.brt.entity.UserParams@2f3916ad)
brt  | 2025-05-10T13:17:45.748Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Caller is not serviced by Romashka. Terminating fragment processing
brt  | 2025-05-10T13:17:45.748Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Trying to handle message "02, 79996668800, 79905557700, 2025-04-30T02:58:00, 2025-04-30T03:04:00"
brt  | 2025-05-10T13:17:45.750Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Got callerRecord: User(userId=6, userName=Пупкина Александра Александровна, tariffId=12, msisdn=79996668800, balance=476.00, registrationDate=2024-04-14T19:59:20, userParams=rom.brt.entity.UserParams@4b21f918)
brt  | 2025-05-10T13:17:45.751Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Got receiverRecord: User(userId=-1, userName=null, tariffId=null, msisdn=79905557700, balance=null, registrationDate=null, userParams=null)
brt  | 2025-05-10T13:17:45.752Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Created caller: Subscriber[id=6, msisdn=79996668800, isServiced=true, tariffId=12, minutes=50, paymentDay=2024-05-13]
brt  | 2025-05-10T13:17:45.752Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Receiver 79905557700 is not serviced by Romashka
brt  | 2025-05-10T13:17:45.752Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Created receiver: Subscriber[id=null, msisdn=79905557700, isServiced=false, tariffId=null, minutes=null, paymentDay=null]
brt  | 2025-05-10T13:17:45.752Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Sent request: CalculationRequest[callType=02, caller=Subscriber[id=6, msisdn=79996668800, isServiced=true, tariffId=12, minutes=50, paymentDay=2024-05-13], receiver=Subscriber[id=null, msisdn=79905557700, isServiced=false, tariffId=null, minutes=null, paymentDay=null], durationMinutes=6, currentDate=2025-04-30]
brt  | 2025-05-10T13:17:45.764Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Received response: CalculationResponse[cost=100.0, tariffType=00, description=Default description, remainingMinutes=44, nextPaymentDate=2024-06-12]
brt  | 2025-05-10T13:17:45.768Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.BillingService           : User information updated: User(userId=6, userName=Пупкина Александра Александровна, tariffId=12, msisdn=79996668800, balance=376.00, registrationDate=2024-04-14T19:59:20, userParams=rom.brt.entity.UserParams@4b21f918)
brt  | 
brt  | 2025-05-10T13:17:45.771Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Saved fragment: Fragment(callType=02, callerMsisdn=79996668800, receiverMsisdn=79905557700, startTime=2025-04-30T02:58, endTime=2025-04-30T03:04)
brt  | Response: CalculationResponse[cost=100.0, tariffType=00, description=Default description, remainingMinutes=44, nextPaymentDate=2024-06-12]
